Keyword,frequency,category_ids
update,35,"[20, 24, 22, 23, 25]"
watch,35,"[25, 28, 20, 24, 10, 1, 27, 17]"
warriors,35,"[17, 20, 23]"
red,35,"[10, 22, 1, 24, 26, 28, 23, 17, 20]"
stars,35,"[20, 24, 17, 1, 25, 10]"
inside,35,"[22, 10, 24, 27, 25, 23, 17, 20]"
fnaf,35,"[1, 20, 24]"
insane,34,"[24, 20, 17, 22, 10, 23, 28]"
stray,34,"[10, 22, 24, 20]"
ariana,34,"[10, 24, 22, 20]"
ice,34,"[10, 24, 22, 20, 28, 27, 25, 26, 23]"
savage,34,"[10, 24, 22]"
gameplay,33,"[20, 22]"
series,33,"[17, 28, 24, 20, 26, 10, 1]"
los,33,"[10, 17, 24]"
play,33,"[10, 22, 24, 17, 20, 26, 15]"
go,33,"[26, 10, 24, 1, 17, 20, 22, 2, 25]"
queen,33,"[20, 10, 25, 24, 27]"
everything,33,"[24, 22, 10, 20, 28, 1]"
news,33,"[25, 28, 10, 24, 20]"
apex,33,[20]
way,33,"[24, 10, 20, 1, 22, 27, 28]"
test,33,"[17, 28, 24, 26, 15, 10, 20]"
fifa,32,"[17, 10, 24, 20]"
4k,32,"[10, 24, 20, 23]"
look,32,"[22, 10, 24, 20, 27, 23, 1]"
exclusive,32,"[10, 17, 22, 24, 1, 25]"
alejandro,32,[10]
extreme,32,"[24, 20, 28, 22, 27, 17]"
money,32,"[20, 10, 24, 23, 22, 17, 26]"
billie,32,"[10, 24]"
bunny,31,"[10, 24]"
happened,31,"[23, 17, 25, 24, 20, 22, 15, 10]"
tiktok,31,"[24, 22, 1, 23, 20, 26, 27, 28]"
grande,31,"[10, 24, 22, 20]"
character,31,"[20, 23]"
imposter,31,"[20, 24, 23]"
see,31,"[24, 17, 10, 26, 28, 22, 1, 20, 25, 27]"
bieber,31,"[10, 22, 24]"
united,31,"[10, 17, 20, 29, 22]"
lakers,31,[17]
eating,31,"[22, 24, 23, 26, 1, 27]"
oliver,31,"[10, 24, 23]"
special,31,"[10, 24, 20, 22, 1, 25]"
weeknd,31,[10]
makeup,31,"[24, 28, 22, 26]"
royale,31,[20]
level,30,"[10, 20, 24, 22, 17, 23]"
universe,30,"[10, 20, 24, 27, 1, 29, 17, 22]"
year,30,"[28, 24, 20, 22, 26, 25, 17, 10]"
doja,30,"[10, 22, 24]"
