Keyword,frequency,category_ids
november,6,"[28, 24, 17, 10]"
roddy,6,"[10, 24]"
shes,6,"[10, 25, 22, 15, 24]"
covered,6,"[24, 27]"
kick,6,"[1, 24, 10, 22]"
items,6,"[24, 20, 27]"
footage,6,"[24, 25, 1]"
thoughts,6,"[23, 24, 17]"
happier,6,[10]
sauce,6,"[10, 17, 26]"
montana,6,[10]
fruit,6,"[22, 24, 23]"
vault,6,"[28, 25, 10, 20]"
euphoria,6,"[22, 10]"
bengals,6,[17]
monologue,6,"[24, 23]"
strangers,6,"[23, 28, 24]"
strike,6,"[22, 17, 20]"
escaping,6,"[23, 24, 22, 20]"
mods,6,[20]
luis,6,"[10, 17]"
뉴진스,6,"[10, 22, 24]"
katy,6,"[10, 25]"
chocolate,6,"[24, 20, 23, 22, 26]"
presentation,6,"[24, 17, 28, 1]"
perry,6,"[10, 25]"
n,6,"[24, 10]"
calling,6,"[10, 22, 17, 28, 15]"
list,6,"[17, 27, 10]"
puppy,6,"[24, 15, 25]"
sub,6,"[22, 24, 20, 10]"
teamseas,6,"[24, 28, 17, 1, 27]"
battles,6,"[22, 24, 20]"
wick,6,"[1, 20, 24, 10]"
omg,6,"[24, 22, 10]"
cars,6,"[24, 17, 2, 20]"
eve,6,"[24, 17, 10, 2]"
kai,6,"[10, 24]"
leicester,6,[17]
thinking,6,"[24, 28, 23]"
close,6,"[17, 20, 22, 24]"
loona,6,[24]
h,6,[10]
oct,6,"[17, 24]"
소녀,6,[24]
beatbox,6,"[10, 1, 24, 22]"
job,6,"[24, 20, 22, 23]"
ad,6,"[26, 20, 24, 23, 10]"
madness,6,"[24, 28]"
halsey,6,"[10, 20, 24]"
kda,6,[20]
madison,6,"[20, 24, 10]"
cheese,6,"[23, 1, 26, 22]"
vanity,6,[24]
a24,6,[1]
usa,6,"[24, 17, 10]"
2nd,6,"[17, 24, 22]"
message,6,"[24, 22, 10, 17]"
modern,6,"[20, 24, 10]"
overwatch,6,[20]
cosculluela,6,[10]
boyz더보이즈,6,[10]
houses,6,"[24, 22]"
rm,6,"[10, 24]"
para,6,"[24, 10, 25]"
ddg,6,[10]
hammer,6,"[20, 27, 22, 28]"
sml,6,[24]
road,6,"[20, 1, 10, 27]"
volume,6,"[24, 1]"
horror,6,"[20, 27, 1, 24]"
willow,6,"[10, 1]"
banda,6,[10]
australia,6,"[25, 22]"
private,6,"[24, 28, 22, 20]"
catch,6,"[22, 1, 28, 20, 10]"
finding,6,"[25, 24, 22, 20]"
fecha,6,[17]
dramatic,6,"[17, 27]"
breath,6,"[10, 20, 24, 22]"
cube,6,"[24, 20]"
station,6,"[24, 10, 20]"
sense,6,"[25, 20, 24, 1, 2]"
conan,6,"[10, 23]"
messi,6,"[17, 25]"
rip,6,"[20, 22, 23, 28]"
scene,6,"[1, 24]"
blanco,6,[10]
di,6,"[10, 22]"
simulator,6,"[20, 17, 27]"
rematch,6,"[20, 24, 22]"
learn,6,"[24, 23, 22, 27, 1]"
circle,6,"[24, 20, 22]"
case,6,"[10, 24, 22, 25]"
destroy,6,"[28, 20, 22, 23]"
brawlers,6,[20]
mansion,6,"[24, 1, 20, 26]"
blake,6,"[26, 22, 24, 23]"
human,6,"[28, 24, 27, 20]"
tournament,6,"[24, 20, 22, 17]"
macbook,6,[28]
al,6,"[17, 10, 23]"
filled,6,"[24, 22]"
bloopers,6,"[22, 20, 10]"
fivio,6,[10]
deleted,6,"[22, 24, 1]"
wait,6,"[24, 19, 10, 20]"
whitty,6,"[20, 24]"
balloon,6,"[22, 24]"
maverick,6,"[10, 1]"
legendarios,6,[10]
49ers,6,[17]
nike,6,"[17, 10]"
faster,6,"[27, 22, 28, 24, 17, 10]"
burn,6,"[10, 20, 25]"
bear,5,"[24, 28]"
aap,5,"[10, 24, 20]"
blocks,5,"[20, 2]"
military,5,"[24, 25]"
alvarez,5,[17]
mining,5,"[20, 22, 27]"
meets,5,"[15, 23, 24, 26]"
mobs,5,[20]
perform,5,"[24, 10]"
wheel,5,"[24, 28, 2]"
reynolds,5,"[1, 22, 23]"
impostors,5,"[20, 22]"
cosmetics,5,"[22, 26]"
duki,5,"[24, 10]"
someone,5,"[20, 10, 15, 24, 1]"
place,5,"[1, 27, 17, 24, 10]"
korean,5,"[23, 24, 10]"
japan,5,"[19, 24, 10, 17]"
complete,5,"[20, 24, 25, 1]"
suit,5,"[20, 1, 24]"
frozen,5,"[24, 22, 20]"
hate,5,"[10, 20, 26, 23]"
illusion,5,"[24, 17, 26, 10, 27]"
babish,5,"[24, 26]"
losing,5,"[24, 25, 22, 23]"
age,5,[20]
quarterfinals,5,[17]
knock,5,"[24, 1]"
explain,5,"[24, 17, 26, 27]"
global,5,"[10, 29]"
helluva,5,[1]
squishy,5,"[28, 24]"
yandel,5,[10]
newjeans,5,"[10, 22, 24]"
wala,5,[10]
derby,5,[17]
lord,5,[1]
rihanna,5,"[10, 24]"
z,5,"[10, 28]"
guard,5,"[25, 20, 28, 10]"
rap,5,"[24, 10, 1]"
soulmate,5,"[24, 1]"
ben,5,"[20, 24, 19, 17]"
stream,5,"[24, 22, 17, 20]"
nf,5,[10]
documentary,5,"[10, 1, 24, 27, 20]"
experiment,5,"[22, 20, 25, 27]"
attendant,5,"[23, 24]"
allstar,5,[17]
citizen,5,"[29, 25]"
moose,5,[10]
moved,5,"[22, 24]"
fly,5,"[24, 23, 1, 22, 10]"
sidhu,5,[10]
calls,5,"[24, 17]"
dre,5,"[17, 10, 20, 28]"
mc,5,"[10, 24]"
plan,5,"[10, 23]"
customized,5,[24]
jesus,5,"[24, 17]"
robert,5,"[24, 17, 1]"
thrilling,5,"[17, 25]"
three,5,"[24, 22, 23, 20]"
breakdown,5,"[23, 24]"
davo,5,"[10, 24]"
miami,5,"[10, 25, 17]"
sony,5,"[28, 24, 20]"
mann,5,[22]
jimin,5,[10]
dhar,5,[22]
paint,5,"[24, 10, 28]"
마피아,5,"[10, 24]"
desk,5,"[10, 1]"
wolves,5,"[10, 17]"
feet,5,"[24, 22]"
jurassic,5,"[24, 20, 15]"
dinner,5,"[22, 24, 25]"
rage,5,"[10, 20]"
puts,5,"[17, 25]"
nail,5,"[26, 10, 24]"
simon,5,"[24, 20]"
aew,5,[24]
feels,5,"[10, 17, 24]"
olympic,5,"[25, 17, 24]"
holy,5,[10]
business,5,"[25, 26, 23, 20]"
solve,5,"[27, 24, 25, 20, 1]"
pain,5,"[10, 24]"
cypher,5,"[10, 27]"
health,5,"[20, 22, 23]"
trampoline,5,"[22, 24, 1]"
hair,5,"[10, 22, 24, 25]"
f1,5,"[2, 17]"
evaluna,5,[10]
charlie,5,[10]
relationship,5,"[24, 10, 17]"
whos,5,"[22, 24, 23]"
iconic,5,"[1, 24]"
highaltitude,5,[28]
jake,5,"[22, 17, 10]"
pure,5,"[17, 10, 20, 28]"
asian,5,"[25, 23]"
raiders,5,[17]
straight,5,"[24, 1, 22]"
mo,5,"[27, 24, 28]"
yes,5,"[22, 24, 27, 1]"
book,5,"[24, 1]"
wedding,5,"[24, 17, 20, 22]"
depp,5,"[25, 24]"
gwen,5,"[26, 20, 10, 24]"
console,5,"[20, 24]"
jan,5,"[25, 17]"
brothers,5,"[24, 20, 22, 10]"
seal,5,"[17, 24]"
picture,5,"[10, 27]"
여자아이들gidle,5,[10]
balls,5,"[1, 23, 22, 17, 28]"
gordon,5,"[24, 23, 17]"
intro,5,"[10, 27, 22, 23]"
second,5,"[25, 17, 20, 1, 22]"
philadelphia,5,"[17, 25]"
webs,5,[24]
wired,5,[24]
nasa,5,[28]
ghost,5,"[10, 24, 22]"
clashmas,5,[20]
starship,5,[28]
puth,5,[10]
zombies,5,"[20, 10, 22]"
catching,5,"[22, 17, 27]"
asked,5,"[24, 22, 23]"
youth,5,"[24, 10, 1]"
tip,5,"[23, 22, 27]"
leo,5,"[10, 17]"
ride,5,"[10, 2, 20]"
registrada,5,[10]
xp,5,[20]
bus,5,"[24, 22, 26]"
soldier,5,"[24, 25]"
hype,5,"[24, 26, 23]"
ends,5,"[24, 20, 25]"
fresh,5,"[22, 24, 10]"
livestream,5,"[17, 20, 22, 10]"
waste,5,"[25, 27, 17]"
jump,5,"[24, 10, 1, 22]"
front,5,"[25, 24, 22]"
tokischa,5,[10]
physics,5,"[26, 27]"
carin,5,[10]
sister,5,"[24, 22]"
toliver,5,"[10, 24]"
mx,5,"[10, 24]"
gera,5,"[10, 24]"
oh,5,[10]
faze,5,"[24, 17, 10]"
seat,5,"[23, 25, 17, 10]"
twenty,5,[10]
favorite,5,"[10, 24, 23, 17]"
removed,5,"[24, 20]"
louis,5,"[20, 24, 26, 25]"
junior,5,[10]
loco,5,"[10, 24]"
gives,5,"[10, 27, 22, 15, 24]"
saw,5,"[1, 24, 23, 25]"
balloons,5,"[24, 22, 17]"
dreams,5,"[10, 20, 1]"
plane,5,"[24, 20, 23, 17, 25]"
fear,5,"[24, 20, 10, 22]"
please,5,"[10, 22, 1, 23]"
instead,5,"[28, 22, 24, 23]"
dolla,5,[10]
loki,5,"[24, 20]"
ign,5,[10]
meeting,5,"[10, 24, 20, 2, 22]"
horizon,5,"[20, 10]"
crash,5,"[24, 17, 25]"
nbaallstar,5,[17]
takeoff,5,"[10, 25]"
boxing,5,"[22, 24]"
dolph,5,[10]
promo,5,"[10, 22]"
facts,5,"[20, 22]"
moving,5,"[24, 15, 28]"
dreamcatcher드림캐쳐,5,[10]
rumors,5,"[10, 26, 23]"
stuff,5,"[20, 28, 27, 22, 10]"
hey,5,"[22, 10]"
hoonicorn,5,[2]
discord,5,[20]
trial,5,"[24, 25, 22]"
ban,5,"[20, 23]"
avatar,5,"[24, 27, 1]"
vr,5,"[17, 20]"
structures,5,[20]
sus,5,"[27, 20, 10, 22]"
died,5,"[15, 25, 27, 22]"
menu,5,"[24, 1, 23]"
germany,5,"[17, 25]"
레드벨벳,5,[10]
scream,5,"[1, 24]"
ucl,5,[17]
gender,5,"[22, 23]"
beach,5,"[24, 23, 25, 22]"
wonder,5,"[10, 1, 17]"
perseverance,5,[28]
covid,5,"[25, 27, 23]"
lizzo,5,"[10, 23, 24]"
technoblade,5,"[22, 20]"
음악중심,5,"[10, 24]"
drawing,5,"[24, 26, 23]"
rating,5,"[23, 22, 24]"
becerra,5,[10]
ha,5,[10]
clippers,5,[17]
wakanda,5,"[24, 10]"
chinese,5,"[26, 25, 22]"
panther,5,"[24, 10]"
stand,5,"[10, 20, 1, 24]"
crown,5,"[10, 20, 25, 17]"
caves,5,"[20, 1]"
ya,5,"[10, 24, 22]"
blind,5,"[24, 10, 27, 22]"
sign,5,"[22, 24, 25, 27]"
twins,5,"[24, 23]"
ovi,5,[10]
academy,5,"[1, 10, 24]"
web,5,[24]
songs,5,"[10, 24]"
ken,5,"[2, 22]"
potter,5,"[1, 24, 20]"
africa,5,"[22, 17, 25]"
thank,5,"[24, 22, 20, 10]"
fox,5,"[25, 24, 17]"
draw,5,"[17, 26]"
nations,5,"[10, 17, 29]"
dc,5,"[24, 20, 1]"
dettol,5,[17]
wear,5,"[20, 24, 25]"
soot,5,"[10, 24, 20]"
wilbur,5,"[10, 24, 20]"
middle,5,"[2, 24, 23, 27]"
noob,5,"[20, 23]"
caleb,5,"[24, 17]"
server,5,[20]
flying,5,"[20, 17, 28, 24, 1]"
attempted,5,"[1, 24]"
backyard,5,"[28, 24]"
famous,5,"[22, 24]"
tutorial,5,[24]
qatar,5,"[17, 24, 25]"
unbelievable,5,"[22, 24, 17, 28]"
running,5,"[23, 10, 22]"
smart,5,"[28, 24, 22, 23]"
espn,5,[17]
fix,5,"[24, 27, 22, 28]"
kitchen,5,"[28, 22, 24]"
florida,5,"[2, 25, 24]"
toothpaste,5,"[28, 22]"
pam,5,"[10, 24]"
strongest,5,"[24, 28, 22, 20, 17]"
destroying,5,"[20, 24, 27, 22]"
suicide,5,"[1, 24, 10]"
dice,5,"[17, 10, 24]"
pixars,5,"[10, 1]"
living,5,"[24, 10, 20]"
angry,5,"[23, 20, 24]"
lounge,5,[10]
gaga,5,"[10, 24]"
talks,5,"[24, 23, 28, 25]"
chef,5,"[23, 22, 20, 26]"
size,5,"[24, 27]"
quit,5,"[24, 20]"
online,5,"[25, 20, 10]"
early,5,"[23, 10, 20, 28]"
showdown,5,"[17, 19]"
ask,5,"[23, 10, 24, 27]"
multiverse,5,[24]
fx,5,[24]
festival,5,"[17, 24, 1, 10]"
tnt,5,"[17, 20, 22]"
쇼,5,"[10, 24]"
elden,5,[20]
cg,5,[17]
saintgermain,5,[17]
vez,5,"[10, 22]"
era,5,"[24, 27, 20]"
manifest,5,"[20, 1]"
starz,5,[24]
melody,5,[10]
simulate,5,"[20, 22, 24]"
smarter,5,[28]
aint,5,"[10, 1]"
psg,5,[17]
loss,5,"[24, 20, 10, 17]"
milan,5,[17]
disneys,5,[1]
dustin,5,[17]
license,5,"[10, 24]"
bring,5,"[10, 26]"
hurricane,5,"[22, 23, 10, 25]"
amor,5,[10]
trade,5,"[10, 20, 23]"
ghetto,5,[10]
released,5,"[10, 24]"
ceremony,5,"[10, 17, 24, 25]"
always,5,"[25, 20, 24, 10]"
bout,4,"[22, 10]"
m2,4,[28]
ender,4,[20]
bay,4,[17]
rafael,4,[17]
former,4,"[25, 24, 22]"
kendall,4,"[22, 26, 24]"
wall,4,"[24, 1, 10, 25]"
steak,4,"[23, 22]"
sent,4,"[24, 20, 27]"
afc,4,[17]
mar,4,"[10, 24, 1, 17]"
punch,4,"[20, 17]"
fortnitemares,4,[20]
illusions,4,"[24, 20]"
lol,4,"[23, 20]"
luke,4,"[17, 24, 10]"
billboard,4,"[10, 22]"
beginning,4,"[10, 22, 20]"
storytime,4,"[20, 23, 1]"
palace,4,"[22, 17, 25, 20]"
features,4,"[24, 28]"
halo,4,[24]
carnage,4,"[24, 1]"
van,4,"[24, 17, 25, 10]"
angeles,4,[17]
fishing,4,"[24, 17, 22]"
russ,4,[10]
jontron,4,[23]
kpop,4,"[10, 24]"
wang,4,[10]
alexa,4,[17]
metaverse,4,"[24, 28, 23]"
discovers,4,"[25, 23, 20]"
carpet,4,"[24, 23]"
saves,4,"[1, 20, 24]"
bliss,4,[17]
transformed,4,"[20, 27]"
wap,4,"[10, 22]"
pulled,4,"[22, 24]"
antifragile,4,"[10, 24]"
jamie,4,"[24, 23]"
carving,4,"[17, 22, 28]"
marvels,4,"[20, 24]"
grinch,4,"[22, 26, 1]"
ate,4,"[24, 23]"
pumpkin,4,"[17, 20, 1, 23]"
beck,4,"[22, 10]"
flex,4,"[10, 24]"
bonito,4,[10]
credit,4,"[20, 24]"
anyone,4,"[10, 23, 24, 20]"
bodies,4,"[1, 20]"
haunted,4,"[20, 1, 24]"
falls,4,"[24, 10, 17]"
brent,4,"[26, 24]"
tampa,4,[17]
mine,4,"[20, 10, 23]"
featuring,4,"[17, 10, 20]"
dating,4,"[1, 10, 22]"
ramsay,4,"[24, 23]"
rodriguez,4,"[17, 10, 24]"
third,4,"[17, 1]"
lana,4,[10]
presidential,4,"[25, 23]"
deadpool,4,"[24, 23, 22]"
marshmello,4,[10]
eagles,4,[17]
ram,4,"[27, 24, 10]"
morocco,4,[17]
solo,4,"[10, 17, 24]"
rolandgarros,4,[17]
shut,4,"[10, 24]"
seventeen,4,"[10, 24]"
djokovic,4,[17]
virtual,4,"[10, 1, 22, 29]"
davido,4,[10]
nadal,4,[17]
historic,4,"[25, 17]"
glitterbomb,4,[28]
radio,4,[10]
coke,4,"[20, 22, 24, 10]"
lock,4,"[28, 24, 27]"
ashes,4,"[17, 20]"
vlog,4,"[22, 17, 24]"
brooklyn,4,"[24, 17]"
boba,4,"[24, 22, 23, 26]"
bucket,4,[17]
service,4,"[27, 24]"
word,4,"[10, 22, 20, 24]"
gmc,4,[2]
jp,4,[10]
medical,4,"[24, 25, 1, 27]"
charity,4,"[24, 22]"
darkness,4,"[24, 10]"
davis,4,"[17, 24]"
anthem,4,"[17, 20, 10]"
snow,4,"[24, 17, 20]"
freshman,4,[10]
enough,4,"[24, 25, 26]"
countries,4,"[20, 24]"
hes,4,"[24, 15, 25]"
mac,4,"[28, 24]"
watermelon,4,"[26, 24, 10]"
patriots,4,[17]
paid,4,"[24, 28]"
overnight,4,"[26, 24, 22]"
buffalo,4,[17]
freaky,4,"[10, 24]"
happening,4,"[22, 26, 28]"
teacher,4,"[24, 20]"
shadow,4,"[20, 24]"
click,4,"[10, 1, 20, 22]"
nota,4,"[23, 10]"
glimpse,4,"[10, 27]"
xxl,4,[10]
alaska,4,"[17, 10, 24, 25]"
nothing,4,"[17, 10, 28]"
secretly,4,"[28, 20]"
streets,4,"[10, 25]"
coi,4,[10]
amas,4,[10]
freddy,4,[20]
martin,4,"[10, 24]"
omar,4,[10]
monsta,4,[10]
detector,4,"[22, 24]"
lies,4,"[27, 24]"
troll,4,[20]
cent,4,"[17, 10]"
gift,4,"[20, 22, 1]"
trap,4,"[28, 10, 19, 20]"
glorilla,4,"[10, 24]"
master,4,"[20, 17, 27, 10]"
matrix,4,"[24, 1, 20]"
kingdom,4,"[20, 24, 10]"
billy,4,"[17, 25]"
pressure,4,"[10, 27]"
taste,4,"[20, 10, 24, 15]"
shane,4,"[24, 23]"
joshua,4,"[17, 10]"
henry,4,"[1, 20]"
pepsi,4,"[17, 24, 10]"
married,4,"[24, 22]"
teachers,4,"[24, 27, 23]"
hunted,4,"[24, 20]"
pewdiepie,4,"[20, 22, 24]"
arrested,4,"[28, 24, 10, 25]"
coffin,4,[25]
statement,4,"[17, 24, 10]"
grey,4,[10]
vaccine,4,"[10, 25, 24]"
kfc,4,"[20, 22, 24, 23]"
slap,4,"[24, 27, 29, 17]"
og,4,[10]
luka,4,"[17, 24]"
nunez,4,"[17, 10]"
barbarian,4,"[20, 10]"
rocket,4,"[17, 25, 20]"
unholy,4,"[10, 24]"
sept,4,"[17, 1]"
lanka,4,"[17, 22]"
evolution,4,"[10, 1, 27, 24]"
morgan,4,"[24, 10]"
visual,4,[10]
khalifa,4,"[10, 25]"
pitch,4,"[28, 24, 17]"
jayz,4,[10]
dir,4,[24]
craziest,4,"[23, 24]"
cano,4,[10]
sri,4,"[17, 22]"
natanael,4,[10]
zelda,4,[20]
conmigo,4,[10]
bangtan,4,[10]
movies,4,"[24, 23, 27]"
emirates,4,[17]
locked,4,"[26, 24, 10]"
vivo,4,[10]
batman,4,"[1, 24]"
everytime,4,[20]
sandwich,4,"[26, 22]"
adventure,4,"[26, 24]"
_colebennett_,4,[24]
fights,4,"[22, 17, 1]"
picks,4,"[24, 17]"
azerbaijan,4,[17]
bill,4,"[1, 10]"
afghanistan,4,"[25, 17]"
code,4,"[26, 23, 10, 24]"
lazarbeam,4,[20]
rarest,4,"[24, 20]"
podcast,4,[24]
fbi,4,"[24, 22, 25, 27]"
frontera,4,[10]
gas,4,"[23, 20]"
major,4,"[23, 25, 10]"
forget,4,"[10, 1, 24]"
mosey,4,"[22, 10]"
blackbear,4,"[22, 10]"
toys,4,"[24, 19, 20, 15]"
baking,4,"[22, 23]"
stunning,4,"[17, 24]"
parent,4,"[17, 23, 22]"
sea,4,"[24, 25, 10, 17]"
hunt,4,"[20, 24, 22]"
shmurda,4,"[10, 22]"
kate,4,"[25, 24]"
hog,4,[20]
changed,4,"[23, 20, 22]"
destroyed,4,"[24, 20, 23]"
wine,4,"[10, 26, 22]"
foot,4,"[20, 23, 10]"
purple,4,"[26, 20, 24, 10]"
mundo,4,[10]
undercover,4,"[24, 17]"
desert,4,"[17, 20, 15]"
doom,4,"[1, 24]"
warfare,4,[20]
gim,4,[10]
move,4,"[24, 10]"
true,4,"[23, 27, 20, 10]"
dime,4,[10]
kinda,4,"[23, 20, 27]"
ángela,4,[10]
몬스타엑스,4,[10]
bigger,4,"[20, 10]"
browns,4,[17]
travel,4,"[22, 23, 27, 1]"
seeing,4,"[1, 10, 22]"
dies,4,"[22, 25]"
mayhem,4,[20]
pirate,4,"[10, 20]"
salah,4,[17]
millie,4,"[24, 23]"
mbc,4,[10]
knight,4,[24]
instagram,4,"[10, 22, 23, 28]"
royce,4,[10]
delivery,4,"[20, 22, 2]"
fashion,4,"[24, 17]"
bo,4,"[23, 10]"
awd,4,[2]
botella,4,[10]
products,4,"[24, 23]"
remember,4,"[20, 26, 22]"
novak,4,[17]
clickbait,4,"[22, 27, 20]"
miky,4,[10]
mafia,4,[10]
thor,4,"[24, 20]"
eddie,4,"[24, 23]"
hill,4,"[24, 22, 20]"
window,4,"[10, 22]"
walking,4,"[20, 1, 17, 25]"
wide,4,"[20, 25, 17, 10]"
pet,4,"[20, 10, 1]"
babymonster,4,"[10, 22]"
got7,4,[10]
carnales,4,[10]
dior,4,[10]
prerelease,4,[10]
search,4,"[28, 27]"
apocalypse,4,"[27, 20]"
pnk,4,[10]
following,4,"[24, 10, 25]"
thousand,4,"[10, 24, 20]"
miles,4,"[10, 1, 24]"
february,4,"[28, 17]"
mis,4,[10]
dawson,4,"[24, 23]"
ragnarok,4,[20]
caught,4,[24]
carabao,4,[17]
dear,4,"[24, 10, 20]"
guardians,4,"[24, 22]"
monstermax,4,[22]
truck,4,"[22, 2, 10]"
announce,4,"[25, 20]"
guetta,4,[10]
markiplier,4,"[24, 22]"
zero,4,"[20, 1]"
maniac,4,"[10, 24, 20]"
everyday,4,"[24, 22]"
bebe,4,[10]
design,4,"[22, 24, 28]"
punk,4,"[10, 24]"
asake,4,"[10, 22]"
armor,4,[20]
jumping,4,"[24, 27, 20]"
mora,4,[10]
cash,4,"[24, 10]"
bayern,4,[17]
wizkid,4,[10]
tea,4,"[25, 26, 22]"
crafting,4,[20]
skills,4,"[17, 24]"
engine,4,"[22, 2, 20]"
breaking,4,"[24, 10, 20]"
슈퍼엠,4,[10]
china,4,"[22, 25, 17]"
villa,4,[17]
starbucks,4,"[22, 27, 26, 23]"
therefore,4,"[10, 24]"
daily,4,"[24, 23, 10]"
quiles,4,[10]
oprah,4,"[25, 24]"
superm,4,[10]
drama,4,"[10, 17, 24]"
fired,4,"[24, 25, 22, 23]"
jail,4,"[24, 23, 10, 25]"
toilet,4,"[22, 24]"
saying,4,"[20, 26, 24]"
rift,4,"[20, 25, 10]"
postfight,4,[17]
mejor,4,[10]
whoever,4,"[20, 17]"
childhood,4,"[24, 22, 23]"
kissing,4,"[24, 23]"
around,4,"[10, 25, 24]"
hudson,4,"[10, 24]"
incredible,4,"[17, 28, 19, 24]"
más,4,[10]
legendary,4,"[20, 23]"
newcastle,4,[17]
father,4,"[1, 24, 20]"
smartphone,4,"[28, 10]"
sun,4,"[10, 24]"
village,4,"[1, 20]"
hotspur,4,[17]
rover,4,[28]
aston,4,[17]
great,4,"[22, 1, 26]"
general,4,"[10, 25, 22]"
ticket,4,[24]
heungmin,4,"[23, 17]"
step,4,"[22, 27, 24]"
addresses,4,"[23, 25, 17]"
gum,4,"[26, 23, 22]"
giveaway,4,"[24, 28]"
måneskin,4,[10]
perreo,4,[10]
far,4,"[24, 27]"
letter,4,"[10, 20]"
learned,4,"[24, 20]"
bts방탄소년단,4,[24]
invasion,4,"[24, 20, 25]"
richest,4,"[24, 20]"
엠카운트다운,4,[24]
everglow,4,[10]
에버글로우,4,[10]
jessi,4,[10]
lyrics,4,"[10, 23]"
plus,4,"[22, 24, 20]"
dobrik,4,"[22, 24]"
enderman,4,[20]
choo,4,[20]
sky,4,"[10, 1]"
una,4,[10]
oldest,4,"[22, 24]"
acdc,4,[10]
zendaya,4,"[24, 10]"
jacob,4,"[24, 26, 23]"
understand,4,"[10, 24, 27]"
binging,4,[24]
kos,4,[17]
vending,4,"[27, 24, 26]"
submarine,4,"[27, 17, 24]"
blaine,4,"[1, 22, 24]"
eats,4,"[28, 24]"
plant,4,[17]
multiplayer,4,"[20, 24]"
nvidia,4,[28]
mustang,4,[2]
wing,4,"[28, 10, 26]"
kevvo,4,[10]
paper,4,"[23, 24, 22]"
pull,4,"[10, 22, 23, 1]"
ways,4,"[20, 27, 22]"
cena,4,"[17, 24]"
nfc,4,[17]
somebody,4,"[10, 24]"
nicole,4,[10]
elton,4,"[10, 1]"
roles,4,[20]
thing,4,"[28, 24, 17, 23]"
spin,4,"[10, 24]"
ditto,4,"[10, 22]"
cnco,4,[10]
rainbow,4,"[10, 22, 20]"
jet,4,"[24, 22]"
magico,4,[10]
fixing,4,[24]
casper,4,[10]
become,4,"[20, 17]"
boat,4,"[24, 20, 26]"
criminal,4,"[22, 20, 10]"
lucky,4,"[24, 17]"
faces,4,"[25, 26, 10, 22]"
odd,4,"[10, 23, 15]"
pbc,4,[17]
makeovers,4,[24]
clan,4,[20]
crypto,4,"[27, 20, 24, 23]"
couples,4,"[24, 15, 22]"
bgt,4,[24]
peloton,4,[17]
ñengo,4,[10]
parody,4,"[24, 1]"
crew,4,"[24, 20, 10]"
violence,4,"[25, 24, 23]"
nelson,4,"[22, 10, 24]"
moonlight,4,"[10, 20]"
hart,4,"[24, 10]"
wa,4,"[22, 24, 10]"
chess,4,"[24, 20]"
kyiv,4,"[25, 24]"
shoes,4,"[23, 24, 26, 1]"
smartest,4,"[24, 25, 20]"
fuerza,4,[10]
regida,4,[10]
acceptance,4,[10]
residente,4,"[24, 10]"
filmed,4,"[25, 24]"
rockets,4,"[25, 27, 17]"
layers,4,"[24, 22]"
cha,4,[10]
tanks,4,"[25, 20]"
hunter,4,"[10, 24, 20]"
sounds,4,"[10, 24, 26, 22]"
taking,4,"[24, 22, 28, 20]"
pen,4,"[24, 26]"
diamonds,4,"[10, 20]"
zayn,4,"[10, 17]"
ms,4,"[24, 10]"
blow,4,"[25, 10, 24, 17]"
gods,4,[1]
cowell,4,[24]
beasts,4,"[1, 20]"
carti,4,[10]
playboi,4,[10]
smallest,4,"[17, 22, 1, 24]"
zion,4,"[10, 17]"
levitating,4,[10]
pam_a_cake,4,[23]
sarahs,4,[23]
rivera,4,"[10, 24]"
heist,4,"[28, 20]"
rapper,4,[10]
saints,4,"[1, 17]"
fandome,4,"[24, 20, 1]"
astro,4,"[24, 17, 10]"
dads,4,"[22, 19]"
cj,4,[10]
mo3,4,[10]
delivers,4,"[17, 25]"
hope,4,"[22, 10]"
band,4,"[24, 17]"
uk,4,"[24, 25, 10]"
training,4,"[17, 22]"
challenged,4,"[24, 20, 22]"
ishowspeed,4,"[10, 22]"
nurmagomedov,4,"[17, 24]"
announces,4,"[17, 25]"
already,4,"[28, 10]"
surviving,4,"[24, 20]"
past,4,"[27, 20, 24]"
lunay,4,[10]
killer,4,"[15, 10, 28, 27]"
reverse,4,"[23, 10, 28]"
thieves,4,"[28, 1]"
brit,4,[10]
useless,4,"[24, 20]"
sugar,4,"[10, 24, 2]"
kamala,4,"[25, 24]"
kane,4,"[17, 10]"
nick,4,"[1, 26, 22]"
boomin,4,[10]
tiger,4,"[10, 20]"
metro,4,[10]
york,4,"[24, 17, 22]"
ps4,4,[20]
hydroneer,4,[20]
helicopter,4,"[10, 17, 27, 28]"
p,4,"[23, 10]"
khabib,4,"[17, 24]"
talking,4,"[10, 24, 1]"
rate,3,"[24, 20]"
going,3,"[23, 20, 10]"
ford,3,"[28, 2]"
lip,3,"[23, 22]"
despite,3,"[17, 24]"
crew1,3,[28]
11th,3,"[22, 17]"
reads,3,"[25, 24, 27]"
normal,3,"[10, 22, 24]"
dexter,3,"[24, 22]"
violet,3,[20]
fin,3,[10]
cheat,3,"[20, 22, 24]"
scarlet,3,[20]
thought,3,"[28, 24, 26]"
dwayne,3,"[24, 10]"
belgian,3,[17]
fixed,3,"[23, 22, 20]"
reactions,3,"[28, 17]"
italy,3,"[23, 24, 17]"
meal,3,"[24, 1]"
wives,3,"[17, 24, 27]"
follow,3,"[10, 24]"
strikes,3,"[17, 20, 25]"
duchess,3,"[25, 22]"
